Cruise,Station,yyyy-mm-ddThh:mm:ss.sss,Longitude [degrees_east],Latitude [degrees_north],Bot. Depth [m],Period
GIPY04,18 (Super 1),2008-02-20T16:40:04,13.1163,-36.5085,4941,Feb - Mar 2008
GIPY04,34 (Super 2),2008-02-27T16:17:13,8.92934,-42.4692,4070,Feb - Mar 2008
GIPY05,PS71/101,2008-02-13T19:27:27,8.99454,-42.3406,4569,Feb 2008 - Apr 2008
GIPY05,PS71/161,2008-03-08T23:44:22,359.99774,-66.5002,4544,Feb 2008 - Apr 2008
GIPY05,PS71/163,2008-03-09T14:04:00,0.0019,-67.0007,4701,Feb 2008 - Apr 2008
GIPY05,PS71/167,2008-03-10T05:31:25,359.99951,-68.0001,4506,Feb 2008 - Apr 2008
GIPY05,PS71/175,2008-03-11T06:10:31,0.00071,-69.0035,3418,Feb 2008 - Apr 2008
GIPY05,PS71/178,2008-03-12T03:11:13,359.96686,-69.397,2004,Feb 2008 - Apr 2008
GA03,Station 11,2011-11-22T07:22:47,299.22021,30.8191,,Nov - Dec 2011
GA03,Station 10,2011-11-20T12:04:25,295.83051,31.7501,4568,Nov - Dec 2011
GA03,Station 11,2010-10-31T23:02:42,337.21661,17.3514,3359,Oct - Nov 2010
GA03,Station 9,2010-10-28T05:18:38,341.74689,17.3525,3050,Oct - Nov 2010
GA03,Station 10,2010-10-30T08:16:27,339.17889,17.3538,3352,Oct - Nov 2010
GP02,BD04,2012-08-24T22:45:50,143.882,37.814,7018,Aug - Oct 2012
GP02,BD05,2012-08-26T12:46:54,150.00101,40.8337,5246,Aug - Oct 2012
GP02,BD06,2012-08-27T19:51:47,155,44.0027,5306,Aug - Oct 2012
GP02,BD15,2012-09-19T16:34:37,199.83,50.8335,4855,Aug - Oct 2012
GP02,BD16,2012-09-20T21:48:53,204.004,50.3948,4938,Aug - Oct 2012
